,Unnamed: 0.1,Unnamed: 0,id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0,14868,14868,0.5,Ideal,D,SI1,62.1,57.0,5.05,5.08,3.14,1355
1,1,165613,165613,2.0,Very Good,G,SI2,59.5,57.0,8.08,8.15,4.89,14691
2,2,96727,96727,0.27,Premium,E,VVS1,60.5,59.0,4.19,4.16,2.52,844
3,3,145593,145593,0.32,Premium,I,VVS1,61.2,59.0,4.43,4.44,2.71,707
4,4,118689,118689,1.19,Ideal,H,SI1,62.5,56.0,6.77,6.81,4.23,5797
5,5,104142,104142,0.41,Ideal,I,VVS2,61.3,55.0,4.82,4.86,2.97,791
6,6,54957,54957,1.28,Premium,H,SI1,60.7,58.0,7.09,6.98,4.27,6639
7,7,92988,92988,2.23,Premium,H,SI2,60.2,60.0,8.56,8.51,5.13,13938
8,8,30326,30326,0.71,Ideal,D,VS2,61.4,56.0,5.74,5.77,3.53,3510
9,9,9293,9293,1.2,Very Good,I,SI1,62.3,61.0,6.73,6.68,4.18,5390
10,10,118776,118776,0.31,Ideal,E,SI1,61.9,54.0,4.38,4.41,2.72,606
11,11,91116,91116,0.33,Premium,G,VVS1,60.2,60.0,4.48,4.45,2.69,862
12,12,179642,179642,0.53,Ideal,E,SI1,62.1,56.0,5.18,5.2,3.22,1368
13,13,12474,12474,0.7,Premium,I,SI2,60.4,62.0,5.79,5.76,3.48,1832
14,14,24803,24803,0.52,Very Good,H,VVS1,59.1,61.0,5.24,5.3,3.1,1710
15,15,10766,10766,0.4,Ideal,E,VS1,61.5,55.0,4.76,4.78,2.93,953
16,16,93825,93825,0.52,Ideal,G,SI1,61.2,57.0,5.19,5.23,3.18,1443
17,17,131096,131096,1.01,Very Good,F,SI2,63.3,56.0,6.42,6.35,4.05,4468
18,18,2494,2494,1.11,Ideal,H,SI1,62.3,54.0,6.65,6.62,4.14,6096
19,19,131712,131712,0.3,Ideal,H,VVS2,61.9,55.0,4.3,4.32,2.67,586
20,20,36521,36521,1.54,Ideal,F,SI2,61.4,55.0,7.44,7.47,4.57,9065
21,21,163066,163066,0.52,Very Good,F,SI2,61.4,56.0,5.18,5.21,3.19,1120
22,22,76276,76276,1.13,Very Good,H,VS2,61.2,59.0,6.71,6.76,4.12,5893
23,23,87229,87229,0.41,Premium,E,SI1,60.8,58.0,4.77,4.8,2.91,755
24,24,139460,139460,0.9,Very Good,I,VS1,61.6,61.0,6.21,6.15,3.8,3592
25,25,101571,101571,0.35,Very Good,I,SI1,62.9,58.0,4.48,4.46,2.82,572
26,26,162228,162228,0.7,Good,J,SI2,65.1,59.0,5.51,5.57,3.63,1364
27,27,111152,111152,1.0,Very Good,G,VVS2,61.9,59.0,6.37,6.43,3.96,7982
28,28,104150,104150,0.42,Ideal,E,VS1,60.9,57.0,4.86,4.84,2.95,1153
29,29,184527,184527,0.54,Ideal,H,VS1,61.8,56.0,5.25,5.28,3.26,1727
30,30,91699,91699,0.5,Premium,E,VS2,62.9,61.0,5.05,5.0,3.16,1813
31,31,74646,74646,1.01,Good,E,VS2,64.3,59.0,6.31,6.35,4.07,6289
32,32,193223,193223,0.71,Ideal,D,VS2,61.5,56.0,5.69,5.74,3.51,3321
33,33,102988,102988,0.74,Very Good,G,VS2,60.5,58.0,5.82,5.86,3.54,2863
34,34,67737,67737,1.51,Ideal,E,VS2,61.2,57.0,7.46,7.43,4.55,14949
35,35,18683,18683,0.31,Very Good,G,SI1,62.9,58.0,4.3,4.31,2.71,593
36,36,130921,130921,0.36,Ideal,D,VVS2,62.1,55.0,4.58,4.59,2.85,863
37,37,81712,81712,0.24,Ideal,F,VVS1,62.4,56.0,4.01,4.04,2.5,554
38,38,11661,11661,0.7,Ideal,F,VS2,62.0,56.0,5.7,5.73,3.54,2803
39,39,145667,145667,1.7,Premium,G,SI1,60.9,58.0,7.63,7.67,4.66,12342
40,40,46090,46090,1.01,Good,E,VS2,63.1,55.0,6.37,6.4,4.02,6931
41,41,142485,142485,1.01,Premium,F,SI1,62.3,61.0,6.45,6.38,3.99,4606
42,42,143549,143549,0.42,Ideal,E,VVS2,61.6,56.0,4.83,4.85,2.98,1353
43,43,98805,98805,0.38,Ideal,G,VS2,62.1,54.0,4.64,4.67,2.89,983
44,44,103687,103687,0.38,Premium,E,VS2,58.8,62.0,4.67,4.73,2.76,1112
45,45,128786,128786,0.72,Premium,,VS1,60.1,59.0,5.79,5.85,3.49,2948
46,46,38569,38569,0.31,Very Good,F,VS1,62.3,58.0,4.33,4.35,2.7,717
47,47,7639,7639,1.02,Premium,F,VS2,62.7,60.0,6.45,6.4,4.03,6762
48,48,125203,125203,1.23,Good,F,SI2,59.9,64.0,6.94,6.9,4.16,4989
49,49,104958,104958,0.32,Very Good,D,SI2,63.1,57.0,4.35,4.31,2.73,523
50,50,109872,109872,1.01,Premium,F,SI2,62.3,58.0,6.38,6.35,3.96,4442
51,51,139246,139246,2.04,Ideal,G,SI2,61.3,57.0,8.11,8.21,4.97,16261
52,52,99912,99912,0.54,Ideal,D,VS1,61.2,57.0,5.24,5.28,3.22,2034
53,53,77724,77724,0.74,Ideal,E,VS1,61.9,56.0,5.77,5.79,3.58,2920
54,54,135986,135986,1.01,Premium,G,SI1,63.0,58.0,6.29,6.24,3.98,5006
55,55,147299,147299,1.52,Premium,G,SI2,60.8,59.0,7.36,7.4,4.49,9970
56,56,101453,101453,1.54,Premium,H,SI1,61.1,58.0,7.45,7.43,4.54,11133
57,57,190463,190463,1.01,Very Good,E,SI2,63.5,56.0,6.35,6.24,4.01,4241
58,58,156983,156983,0.54,Ideal,H,VS1,62.4,57.0,5.22,5.17,3.24,1590
59,59,62412,62412,0.3,Very Good,H,SI1,62.9,55.0,4.29,4.32,2.7,641
60,60,41249,41249,0.72,Premium,D,VS1,60.0,56.0,5.89,5.85,3.53,3601
61,61,17471,17471,0.41,Ideal,D,VS2,61.4,56.0,4.78,4.75,2.93,1007
62,62,42268,42268,1.64,Ideal,G,VS1,61.2,56.0,7.65,7.61,4.65,15970
63,63,152024,152024,0.93,Ideal,I,SI2,62.1,56.0,6.22,6.26,3.87,3359
64,64,122534,122534,0.51,Premium,F,SI1,62.1,58.0,5.15,5.09,3.18,1235
65,65,166240,166240,1.13,Premium,G,SI1,60.5,60.0,6.82,6.76,4.1,5701
66,66,109095,109095,0.34,Ideal,I,VS1,61.3,56.0,4.5,4.54,2.77,593
67,67,38482,38482,1.1,Very Good,D,SI1,61.4,59.0,6.61,6.65,4.07,5884
68,68,152829,152829,0.31,Ideal,E,SI1,61.6,56.0,4.35,4.38,2.68,646
69,69,66769,66769,0.3,Premium,H,VS1,62.1,60.0,4.28,4.26,2.65,675
70,70,46509,46509,0.71,Ideal,H,VS2,61.1,56.0,5.82,5.79,3.54,2761
71,71,29158,29158,1.12,Premium,I,SI1,61.6,60.0,6.66,6.69,4.11,4587
72,72,33639,33639,1.13,Ideal,H,SI1,61.9,56.0,6.62,6.67,4.13,5621
73,73,137883,137883,0.32,Ideal,I,IF,62.1,54.0,4.38,4.41,2.73,715
74,74,172364,172364,0.38,Very Good,D,SI1,60.9,61.0,4.66,4.73,2.86,671
75,75,176550,176550,0.34,Premium,E,SI1,61.9,58.0,4.45,4.48,2.77,765
76,76,157792,157792,0.7,Very Good,G,SI1,61.4,55.0,5.68,5.75,3.51,2415
77,77,109087,109087,0.71,Very Good,G,VVS1,62.5,55.0,5.71,5.67,3.56,3332
78,78,86135,86135,1.02,Good,F,SI2,63.2,57.0,6.37,6.39,4.04,3811
79,79,148482,148482,0.51,Ideal,D,SI1,62.1,55.0,5.09,5.12,3.17,1656
80,80,119447,119447,2.01,Premium,I,SI1,62.7,60.0,8.01,8.05,5.03,12271
81,81,178460,178460,0.53,Ideal,G,VS1,62.0,55.0,5.19,5.23,3.23,1722
82,82,188305,188305,2.01,Premium,I,SI1,59.8,58.0,8.22,8.17,4.9,14394
83,83,103686,103686,1.03,Premium,J,SI1,63.0,56.0,6.46,6.43,4.05,4223
84,84,38600,38600,1.09,Very Good,H,SI1,62.5,59.0,6.51,6.55,4.1,4960
85,85,136012,136012,0.3,Ideal,G,SI1,62.1,57.0,4.24,4.27,2.65,466
