job_name,company_name,location,exp_level,exp_years,skills
Project Engineer,Dar Al RokhamLLC,Dubai,Full Time,Entry Level,Engineering - Construction/Civil/Architecture
Document Controller,New Arab Emirates Careers,Dubai,Full Time,Manager,Administration
Accountant,Dubai Hiring,Dubai,Full Time,Experienced,Accounting/Finance
Administrative Assistant,Dubai Hiring,Dubai,Full Time,Entry Level,Administration
Knowledge Management Technical Lead,Peraton,Dubai,Full Time,Not specified,IT/Software Development
React native programmer,Arabic Computer Systems ltd,Riyadh,Full Time,Not specified,Installation/Maintenance/Repair
Internal Communications Manager,Gilbarco Veeder-Root,Dubai,Full Time,Experienced,Accounting/Finance
Remote Data Entry Representative (Work From Home),IFV,Dubai,Full Time,Not specified,Customer Service/Support
Health Access Manager,"Pfizer, Inc.",Riyadh,Full Time,Not specified,Customer Service/Support
Remote Data Entry Clerks (Work From Home),IFV,Dubai,Full Time,Not specified,Administration
Data Entry Clerk Admin (Remote)Work From Home,Code Cooking,Dubai,Full Time,Not specified,Administration
Data Entry Representatives (Work From Home),IFV,Dubai,Full Time,Not specified,Administration
Entry-Level Remote Administrative Clerk,IFV,Dubai,Full Time,Not specified,Administration
Site Lead Cost Controller,Jacobs,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture
PMO Project Engineer,Hitachi,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture
Project Engineer,Dar Al RokhamLLC,Dubai,Full Time,Entry Level,Engineering - Construction/Civil/Architecture
Document Controller,New Arab Emirates Careers,Dubai,Full Time,Manager,Administration
Accountant,Dubai Hiring,Dubai,Full Time,Experienced,Accounting/Finance
Administrative Assistant,Dubai Hiring,Dubai,Full Time,Entry Level,Administration
Knowledge Management Technical Lead,Peraton,Dubai,Full Time,Not specified,IT/Software Development
React native programmer,Arabic Computer Systems ltd,Riyadh,Full Time,Not specified,Installation/Maintenance/Repair
Internal Communications Manager,Gilbarco Veeder-Root,Dubai,Full Time,Experienced,Accounting/Finance
Remote Data Entry Representative (Work From Home),IFV,Dubai,Full Time,Not specified,Customer Service/Support
Health Access Manager,"Pfizer, Inc.",Riyadh,Full Time,Not specified,Customer Service/Support
Remote Data Entry Clerks (Work From Home),IFV,Dubai,Full Time,Not specified,Administration
Data Entry Clerk Admin (Remote)Work From Home,Code Cooking,Dubai,Full Time,Not specified,Administration
Data Entry Representatives (Work From Home),IFV,Dubai,Full Time,Not specified,Administration
Entry-Level Remote Administrative Clerk,IFV,Dubai,Full Time,Not specified,Administration
Site Lead Cost Controller,Jacobs,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture
PMO Project Engineer,Hitachi,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture
Sales Consultant (Arabic speaker),EF Education,Riyadh,Full Time,Not specified,Business Development
Project Management Team Leader,Hitachi,Riyadh,Full Time,Not specified,Customer Service/Support
Principal Transport Planner/Traffic Engineer,Meinhardt Group,Dubai,Full Time,Experienced,Engineering - Construction/Civil/Architecture
